zipcode,zipcode_type,major_city,post_office_city,county,state,lat,lng
49775,Standard,Pointe Aux Pins,"Pointe Aux Pins, MI",Mackinac County,MI,45.8,-84.5
49776,Standard,Posen,"Posen, MI",Presque Isle County,MI,45.3,-83.7
49777,Standard,Presque Isle,"Presque Isle, MI",Presque Isle County,MI,45.3,-83.6
49779,Standard,Rogers City,"Rogers City, MI",Presque Isle County,MI,45.4,-83.9
49780,Standard,Rudyard,"Rudyard, MI",Chippewa County,MI,46.2,-84.8
49781,Standard,Saint Ignace,"Saint Ignace, MI",Mackinac County,MI,46,-84.8
49782,Standard,Beaver Island,"Beaver Island, MI",Charlevoix County,MI,45.7,-85.6
49783,Standard,Sault Sainte Marie,"Sault Sainte Marie, MI",Chippewa County,MI,46.4,-84.3
49784,Unique,Kincheloe,NA,Chippewa County,MI,46.37,-84.85
49785,Unique,Kincheloe,NA,Chippewa County,MI,46.37,-84.85
49786,Unique,Kincheloe,NA,Chippewa County,MI,46.42,-84.74
49788,Standard,Kincheloe,"Kincheloe, MI",Chippewa County,MI,46.26,-84.47
49790,Standard,Eckerman,NA,Chippewa County,MI,46.3652931,-85.0353578
49791,PO Box,Topinabee,"Topinabee, MI",Cheboygan County,MI,45.487,-84.588
49792,PO Box,Tower,NA,Cheboygan County,MI,45.3548154,-84.2931107
49793,PO Box,Trout Lake,"Trout Lake, MI",Chippewa County,MI,46.194,-85.026
49795,Standard,Vanderbilt,"Vanderbilt, MI",Otsego County,MI,45.2,-84.6
49796,PO Box,Walloon Lake,"Walloon Lake, MI",Charlevoix County,MI,45.268,-84.928
49797,PO Box,Waters,NA,Otsego County,MI,44.8790857,-84.6989145
49799,Standard,Wolverine,"Wolverine, MI",Cheboygan County,MI,45.3,-84.5
49801,Standard,Iron Mountain,"Iron Mountain, MI",Dickinson County,MI,45.9,-88
49802,Standard,Kingsford,"Kingsford, MI",Dickinson County,MI,45.8,-88.07
49805,Standard,Allouez,"Allouez, MI",Keweenaw County,MI,47.3,-88.42
49806,Standard,Au Train,"Au Train, MI",Alger County,MI,46.4,-86.8
49807,Standard,Bark River,"Bark River, MI",Delta County,MI,45.8,-87.4
49808,PO Box,Big Bay,"Big Bay, MI",Marquette County,MI,46.848,-87.836
49812,Standard,Carney,"Carney, MI",Menominee County,MI,45.6,-87.5
49814,Standard,Champion,"Champion, MI",Marquette County,MI,46.6,-87.9
49815,Standard,Channing,"Channing, MI",Dickinson County,MI,46.2,-88
49816,Standard,Chatham,"Chatham, MI",Alger County,MI,46.3,-86.8
49817,Standard,Cooks,"Cooks, MI",Schoolcraft County,MI,45.93,-86.54
49818,Standard,Cornell,"Cornell, MI",Delta County,MI,46,-87.3
49819,PO Box,Arnold,"Arnold, MI",Marquette County,MI,46.11,-87.44
49820,Standard,Curtis,"Curtis, MI",Mackinac County,MI,46.18,-85.69
49821,Standard,Daggett,"Daggett, MI",Menominee County,MI,45.5,-87.6
49822,Standard,Deerton,"Deerton, MI",Alger County,MI,46.4,-87
49825,PO Box,Eben Junction,"Eben Junction, MI",Alger County,MI,46.35,-87.02
49826,PO Box,Rumely,"Rumely, MI",Alger County,MI,46.36,-86.91
49827,Standard,Engadine,"Engadine, MI",Mackinac County,MI,46.2,-85.5
49829,Standard,Escanaba,"Escanaba, MI",Delta County,MI,45.8,-87.2
