x,y,order,hole,piece,group,fips,abbr,full,county
1010505.63,-2104091.642,55390,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010401.031,-2104737.511,55391,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010191.614,-2105631.994,55392,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010761.401,-2106131.341,55393,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010872.055,-2106228.316,55394,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010894.701,-2106303.559,55395,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011057.274,-2106843.719,55396,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011186.071,-2107271.66,55397,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011177.403,-2107316.964,55398,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011172.844,-2107340.793,55399,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011162.922,-2107392.649,55400,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011057.898,-2107941.534,55401,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010976.874,-2108364.991,55402,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010034.606,-2109408.555,55403,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009563.581,-2110004.878,55404,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009529.832,-2110452.837,55405,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009511.172,-2110700.514,55406,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009668.4,-2111495.683,55407,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009712.709,-2111511.463,55408,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1008908.023,-2111849.997,55409,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1008677.466,-2111620.541,55410,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1008468.048,-2111631.551,55411,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1008064.188,-2111645.645,55412,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1007377.8,-2111937.42,55413,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1007492.969,-2112074.829,55414,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1006353.394,-2112280.724,55415,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1005665.906,-2112002.822,55416,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1005475.206,-2112127.239,55417,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1005265.348,-2112012.731,55418,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1004568.611,-2112049.946,55419,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1004274.414,-2111833.922,55420,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1004029.103,-2111832.821,55421,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1003850.514,-2111606.448,55422,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1003373.765,-2111605.567,55423,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1002704.554,-2111376.111,55424,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
